quote,author,tags
"
      “Twenty years from now you will be more disappointed by the things that you didn't do than by the ones you did do. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover.”
  ","
    H. Jackson Brown Jr.,
  ","actions,disappointed,disappointment,dream,dreams,explore,misattributed-mark-twain,sail"
"
      “Love all, trust a few, do wrong to none.”
  ","
    William Shakespeare,
  ","do-wrong,love,trust,wrong"
"
      “You love me. Real or not real?""","
    Suzanne Collins,
  ","katniss,love,peeta,suzanne-collins,the-hunger-games"
"
      “I find television very educating. Every time somebody turns on the set, I go into the other room and read a book.”
  ","
    Groucho Marx 
  ","books,humor,reading,television"
"
      “There is no pretending,"" Jace said with absolute clarity. ""I love you, and I will love you until I die, and if there is life after that, I'll love you then.”
  ","
    Cassandra Clare,
  ","mortal-instruments,romance,teen-fantasy"
"
      “I have never let my schooling interfere with my education.”
  ","
    Mark Twain
  ","attributed-no-source,education"
"
      “The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”
  ","
    Mark Twain
  ","death,life"
"
      “When we honestly ask ourselves which person in our lives mean the most to us, we often find that it is those who, instead of giving advice, solutions, or cures, have chosen rather to share our pain and touch our wounds with a warm and tender hand. The friend who can be silent with us in a moment of despair or confusion, who can stay with us in an hour of grief and bereavement, who can tolerate not knowing, not curing, not healing and face with us the reality of our powerlessness, that is a friend who cares.”
  ","
    Henri Nouwen,
  ","empathy,friends,friendship,inspirational"
"
      “Happiness is when what you think, what you say, and what you do are in harmony.”
  ","
    Mahatma Gandhi
  ","attributed-no-source,happiness"
"
      “Love is needing someone. Love is putting up with someone's bad qualities because they somehow complete you.”
  ","
    Sarah Dessen,
  ",love
"
      “The weak can never forgive. Forgiveness is the attribute of the strong.”
  ","
    Mahatma Gandhi,
  ","forgiveness,strength,weakness"
"
      “For attractive lips, speak words of kindness.","
    Sam Levenson,
  ","beauty,charity,inspirational,kindness,misattributed-audrey-hepburn"
"
      “For instance, on the planet Earth, man had always assumed that he was more intelligent than dolphins because he had achieved so much—the wheel, New York, wars and so on—whilst all the dolphins had ever done was muck about in the water having a good time. But conversely, the dolphins had always believed that they were far more intelligent than man—for precisely the same reasons.”
  ","
    Douglas Adams,
  ",humour
"
      “It's only after we've lost everything that we're free to do anything.”
  ","
    Chuck Palahniuk,
  ",loss
"
      “You can't stay in your corner of the Forest waiting for others to come to you. You have to go to them sometimes.”
  ","
    A.A. Milne,
  ","friendship,inspirational,pooh,winnie"
"
      “I believe in everything until it's disproved. So I believe in fairies, the myths, dragons. It all exists, even if it's in your mind. Who's to say that dreams and nightmares aren't as real as the here and now?”
  ","
    John Lennon
  ","beatles,dragons,dreamers,dreaming,dreams,fairies,faith,mythology,nightmares,reality,truth"
"
      “I have no special talents. I am only passionately curious.”
  ","
    Albert Einstein
  ",inspirational-life
